shot_id,start_ms,end_ms,duration_ms
0,0,14240,14240
1,14240,19840,5600
2,19840,21920,2080
3,21920,23200,1280
4,23200,25280,2080
5,25280,27360,2080
6,27360,33440,6080
7,33440,37760,4320
8,37760,44640,6880
9,44640,47200,2560
10,47200,96006,48806
