shot_id,start_ms,end_ms,duration_ms
0,0,10240,10240
1,10240,15840,5600
2,15840,17600,1760
3,17600,20320,2720
4,20320,23360,3040
5,23360,25760,2400
6,25760,28480,2720
7,28480,35840,7360
8,35840,38720,2880
9,38720,42560,3840
10,42560,52000,9440
11,52000,56000,4000
12,56000,87200,31200
13,87200,95015,7815
