shot_id,start_ms,end_ms,duration_ms
0,0,11520,11520
1,11520,15360,3840
2,15360,17440,2080
3,17440,19200,1760
4,19200,20960,1760
5,20960,28640,7680
6,28640,31200,2560
7,31200,34400,3200
8,34400,38720,4320
9,38720,43360,4640
10,43360,51360,8000
11,51360,55360,4000
12,55360,61120,5760
13,61120,66880,5760
14,66880,72800,5920
15,72800,96001,23201
