shot_id,start_ms,end_ms,duration_ms
0,0,12960,12960
1,12960,17600,4640
2,17600,18720,1120
3,18720,20320,1600
4,20320,25760,5440
5,25760,27520,1760
6,27520,29920,2400
7,29920,34880,4960
8,34880,37920,3040
9,37920,46240,8320
10,46240,75200,28960
11,75200,95026,19826
