shot_id,start_ms,end_ms,duration_ms
0,0,10560,10560
1,10560,13760,3200
2,13760,15200,1440
3,15200,18240,3040
4,18240,21440,3200
5,21440,28320,6880
6,28320,29920,1600
7,29920,33120,3200
8,33120,37120,4000
9,37120,39360,2240
10,39360,41760,2400
11,41760,48480,6720
12,48480,53600,5120
13,53600,57600,4000
14,57600,62080,4480
15,62080,95022,32942
